Well	Top	Base	Unit	Comment
1/2-1	94.00	0.00	NORDLAND GP	
1/2-1	1777.00	0.00	HORDALAND GP	
1/2-1	3059.00	0.00	ROGALAND GP	
1/2-1	3059.00	0.00	BALDER FM	
1/2-1	3121.00	0.00	FORTIES MB	Changed from FM to MB
1/2-1	3275.00	0.00	LISTA FM	
1/2-1	3335.00	0.00	MAUREEN MB	Changed from FM to MB
1/2-1	3407.00	0.00	SHETLAND GP	
1/2-1	3407.00	0.00	EKOFISK FM	
1/2-1	3514.00	0.00	TOR FM	
1/2-2	114.00	0.00	NORDLAND GP	
1/2-2	1675.00	0.00	HORDALAND GP	
1/2-2	3077.00	0.00	ROGALAND GP	
1/2-2	3077.00	0.00	BALDER FM	
1/2-2	3094.00	0.00	SELE FM	
1/2-2	3135.00	0.00	FORTIES MB	Changed from FM to MB
1/2-2	3296.00	0.00	LISTA FM	
1/2-2	3368.00	0.00	MAUREEN MB	Changed from FM to MB
1/2-2	3418.00	0.00	SHETLAND GP	
1/2-2	3418.00	0.00	EKOFISK FM	
1/3-1	97.00	0.00	NORDLAND GP	
1/3-1	2995.00	0.00	ROGALAND GP	
1/3-1	2995.00	0.00	BALDER FM	
1/3-1	3006.00	0.00	SELE FM	
1/3-1	3013.00	0.00	LISTA FM	
1/3-1	3095.00	0.00	VIDAR FM	
1/3-1	3209.00	0.00	VÅLE FM	
1/3-1	3258.00	0.00	SHETLAND GP	
1/3-1	3258.00	0.00	EKOFISK FM	
1/3-1	3354.00	0.00	TOR FM	
1/3-1	3828.00	0.00	HOD FM	
1/3-1	4343.00	0.00	BLODØKS FM	
1/3-1	4371.00	0.00	HIDRA FM	
1/3-1	4441.00	0.00	CROMER KNOLL GP	
1/3-1	4441.00	0.00	RØDBY FM	
1/3-1	4482.00	0.00	SOLA FM	
1/3-1	4671.00	0.00	ZECHSTEIN GP	
1/3-10	117.00	0.00	NORDLAND GP	
1/3-10	1685.00	0.00	HORDALAND GP	
1/3-10	3059.00	0.00	ROGALAND GP	
1/3-10	3059.00	0.00	BALDER FM	
1/3-10	3069.00	0.00	SELE FM	
1/3-10	3153.00	0.00	FORTIES FM	
1/3-10	3228.00	0.00	LISTA FM	
1/3-10 A	117.00	0.00	NORDLAND GP	
1/3-10 A	1685.00	0.00	HORDALAND GP	
1/3-10 A	3320.00	0.00	ROGALAND GP	
1/3-10 A	3320.00	0.00	BALDER FM	
1/3-10 A	3348.00	0.00	SELE FM	
1/3-10 A	3516.00	0.00	FORTIES FM	
