wellbore,counts
6507/7-4,543
30/9-3 A,366
6/3-1,248
30/6-15,233
25/1-7,168
2/7-23 S,167
6406/2-1,133
31/2-4 R,123
9/2-1,122
6507/7-1,112
6611/9-U-1,110
25/11-18,110
7128/6-1,106
34/4-C-6 H,103
33/9-9,99
7119/12-2,99
6506/12-K-3 H,98
6507/7-A-38,97
25/2-12,97
25/5-2,92
7/12-6,92
6406/2-2,89
6506/12-5,87
34/10-34,87
31/2-3,85
35/9-2,85
6506/12-6,83
34/8-4 S,79
2/7-20,78
6506/12-10,78
1/3-7,78
31/2-1,77
34/10-30,74
6506/12-N-4 H,74
6506/11-4 S,73
15/9-2,73
6506/12-1,71
34/10-33,71
15/9-7,68
6406/2-5,68
6506/11-2,67
2/7-26 S,67
6406/2-4 SR,67
15/9-1,67
30/9-14,67
6507/7-A-20,67
7119/12-1,66
6506/12-9 S,66
34/4-4,66
6506/12-L-2 H,66
6506/11-6,64
6608/10-D-1 H,64
31/4-A-4,63
34/10-1,63
25/11-22,62
25/2-13,62
30/3-2 R,61
1/9-4,61
35/10-1,61
6507/5-1,61
6407/7-1 S,61
6506/12-3,60
2/8-8,60
36/7-1,60
34/7-A-9 H,59
15/9-6,58
7120/2-1,58
6406/3-2,57
25/2-9,57
33/9-3,57
34/7-19,57
34/7-A-4 H,57
34/7-1,56
31/3-1,56
7/8-4,56
7018/5-U-2,56
6611/9-U-2,56
31/6-1,55
35/11-6,55
34/8-10 S,55
31/6-5,55
30/8-1 S,55
35/11-10,53
34/10-16,53
31/5-5,53
6507/7-A-17,53
34/10-8,53
6406/2-3,53
31/4-11,52
25/10-1,52
7229/11-1,52
7018/5-U-1,52
7120/12-2,52
15/9-4,52
34/7-9,52
31/6-6,51
35/4-1,51
31/4-5,50
6506/12-I-2 H,50
34/4-5,49
34/10-17,49
31/2-5,48
34/7-7,48
6407/4-1,48
7219/9-1,48
6/3-2,48
34/8-1,48
34/10-3,48
34/7-P-12,47
34/7-14,47
34/8-8,47
6507/3-3,47
30/9-13 S,47
34/10-C-14,47
34/8-4 A,47
35/11-7,46
30/7-8,46
25/11-16,46
30/6-9,46
30/6-7,46
