Name,Alternate 1,UWI number,Quadrant,Block,Operator,Licence number,Intent,Intent - planned,Well status,Well content,Status,Content - planned,Type,Subsea,SPUD date,Completion date,Field,Predrilled entry date,Predrilled completion date,Drill permit,Discovery name,Discovery wellbore,KBE,Final vertical depth (TVD) [m RKB],Terminal depth,Water depth,Kick off point [m RKB],Location,Country,Facility,Drilling facility type,Drilling facility category,Licensing activity awarded in,Production facility,Multilateral,Entry year,Completed year,Reclassified from/to wellbore,Plot symbol,Geodatum,Latitude,Longitude,Surface Y,Surface X,UTM zone,Grid system,DISKOS Well Type,DISKOS Wellbore Parent,NPDID wellbore,NPDID discovery,NPDID field,Publication date,Release date,NPDID production licence drilled in,NPDID drilling facility,NPDID production facility,NPDID wellbore reclassified from,Date main level updated,Date all updated,Date sync NPD
1/3-A-1 H,1/3-A-1,6612,1,3,DONG E&P Norge AS,274 ,PRODUCTION,PRODUCTION,CLOSED,OIL,Closed Oil,OIL,DEVELOPMENT,YES,2011-07-22 00:00:00.000,2011-09-21 00:00:00.000,OSELVAR,,,3365-P,1/3-6 Oselvar,NO,45.0,3163.0,5927.0,72.0,,NORTH SEA,NORWAY,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,NST2001,OSELVAR,NO,2011,2011,,,ED50,56.931961,2.671294,6310001.5,479994.47,31,ED50 / UTM zone 31N,initial             ,                                        ,6612,43832,5506919,,2013-09-21 00:00:00.000,2060266,278245,410592.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-A-2 H,1/3-A-2,6613,1,3,DONG E&P Norge AS,274 ,PRODUCTION,PRODUCTION,CLOSED,OIL,Closed Oil,OIL,DEVELOPMENT,YES,2011-11-18 00:00:00.000,2012-01-19 00:00:00.000,OSELVAR,2011-06-19 00:00:00.000,2011-07-04 00:00:00.000,3366-P,1/3-6 Oselvar,NO,45.0,3170.0,5882.0,72.0,,NORTH SEA,NORWAY,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,NST2001,OSELVAR,NO,2011,2012,,,ED50,56.931914,2.671297,6309996.24,479994.61,31,ED50 / UTM zone 31N,initial             ,                                        ,6613,43832,5506919,,2014-01-19 00:00:00.000,2060266,278245,410592.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-A-3 H,1/3-A-3,6614,1,3,DONG E&P Norge AS,274 ,PRODUCTION,PRODUCTION,CLOSED,OIL,Closed Oil,OIL,DEVELOPMENT,YES,2012-03-04 00:00:00.000,2012-05-14 00:00:00.000,OSELVAR,2011-07-05 00:00:00.000,2011-07-21 00:00:00.000,3367-P,1/3-6 Oselvar,NO,45.0,3171.0,6665.0,72.0,,NORTH SEA,NORWAY,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,NST2001,OSELVAR,NO,2012,2012,,,ED50,56.931964,2.671478,6310001.76,480005.63,31,ED50 / UTM zone 31N,initial             ,                                        ,6614,43832,5506919,,2014-05-14 00:00:00.000,2060266,278245,410592.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-K-1,1/3-K-1,4320,1,3,BP Amoco Norge AS,065 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,1998-05-08 00:00:00.000,1998-07-31 00:00:00.000,TAMBAR,,,1942-P,1/3-3 Tambar,NO,50.0,4386.0,4543.0,68.0,,NORTH SEA,NORWAY,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,1998,1998,1/3-9 S  ,,ED50,56.982769,2.958703,6315610.11,497490.0,31,ED50 / UTM zone 31N,initial             ,                                        ,4320,43826,1028599,,2000-07-31 00:00:00.000,21316,296191,280793.0,3362,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-K-2,1/3-K-2,8286,1,3,Aker BP ASA,065 ,OBSERVATION,PRODUCTION,PLUGGED,NOT APPLICABLE,Plugged,OIL,DEVELOPMENT, NO,2018-01-02 00:00:00.000,2018-01-19 00:00:00.000,TAMBAR,2017-10-27 00:00:00.000,2017-11-03 00:00:00.000,4277-P,1/3-3 Tambar,NO,70.0,4379.0,4911.0,67.4,,NORTH SEA,NORWAY,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2018,2018,,,ED50,56.982786,2.958731,6315611.96,497491.69,31,ED50 / UTM zone 31N,initial             ,                                        ,8286,43826,1028599,,2020-01-19 00:00:00.000,21316,436222,280793.0,0,2020-01-19 00:00:00.000,,09.02.2020
1/3-K-2 A,1/3-K-2,8359,1,3,Aker BP ASA,065 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2018-01-20 00:00:00.000,2018-01-26 00:00:00.000,TAMBAR,,,4620-P,1/3-3 Tambar,NO,69.4,4270.0,5355.0,67.4,4470.0,NORTH SEA,NORWAY,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2018,2018,,,ED50,56.982786,2.958731,6315611.96,497491.69,31,ED50 / UTM zone 31N,sidetrack           ,1/3-K-2                                 ,8359,43826,1028599,,2020-01-26 00:00:00.000,21316,436222,280793.0,0,2020-01-26 00:00:00.000,,09.02.2020
1/3-K-3,1/3-K-3,4396,1,3,BP Amoco Norge AS,065 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2001-09-08 00:00:00.000,2001-10-24 00:00:00.000,TAMBAR,,,2003-P,1/3-3 Tambar,NO,50.3,4286.0,4710.0,67.4,,NORTH SEA,NORWAY,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2001,2001,,,ED50,56.982803,2.958753,6315613.82,497493.04,31,ED50 / UTM zone 31N,initial             ,                                        ,4396,43826,1028599,,2003-10-24 00:00:00.000,21316,296191,280793.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-K-4,1/3-K-4,8287,1,3,Aker BP ASA,065 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2017-11-06 00:00:00.000,2017-12-15 00:00:00.000,TAMBAR,2017-10-21 00:00:00.000,2017-10-25 00:00:00.000,4278-P,1/3-3 Tambar,NO,70.0,4355.0,6436.0,67.4,,NORTH SEA,NORWAY,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2017,2017,,,ED50,56.982767,2.958744,6315609.8,497492.53,31,ED50 / UTM zone 31N,initial             ,                                        ,8287,43826,1028599,,2019-12-15 00:00:00.000,21316,436222,280793.0,0,2019-12-15 00:00:00.000,,09.02.2020
1/3-K-5,1/3-K-5,5485,1,3,BP Norge AS,065 ,OBSERVATION,OBSERVATION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,2007-03-13 00:00:00.000,2007-06-29 00:00:00.000,TAMBAR ØST,,,2808-P,1/3-K-5 Tambar Øst,YES,45.0,4295.0,5268.0,67.4,,NORTH SEA,NORWAY,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2007,2007,,,ED50,56.982781,2.958769,6315611.34,497494.05,31,ED50 / UTM zone 31N,initial             ,                                        ,5485,4999519,4999528,,2009-06-29 00:00:00.000,21316,292114,280793.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
1/3-K-5 A,1/3-K-5,5486,1,3,BP Norge AS,065 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,2007-07-02 00:00:00.000,2007-07-10 00:00:00.000,TAMBAR ØST,,,2809-P,1/3-K-5 Tambar Øst,NO,45.0,4190.0,6301.0,67.4,4843.0,NORTH SEA,NORWAY,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,6,TAMBAR,NO,2007,2007,,,ED50,56.982781,2.958769,6315611.34,497494.05,31,ED50 / UTM zone 31N,sidetrack           ,1/3-K-5                                 ,5486,4999519,4999528,,2009-07-10 00:00:00.000,21316,292114,280793.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
