IC default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CREATED,CREATED,,,,,,,CREATED,,,,,,,,,,,,,,,,,,,,CREATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Alternate 1,UWI number,Quadrant,Block,Operator,Licence number,Intent,Intent - planned,Well status,Well content,Status,Type,Subsea,SPUD date,Completion date,Field,Drill permit,Discovery name,Discovery wellbore,Bottom hole temperature [°C],Seismic line,Maximum inclination [°],KBE,Final vertical depth (TVD) [m RKB],Terminal depth,Water depth,Kick off point [m RKB],Oldest penetrated age,Oldest penetrated formation,Location,Country,Facility,Drilling facility type,Drilling facility category,Licensing activity awarded in,Multilateral,Entry year,Completed year,Reclassified from/to wellbore,Reentry activity,Plot symbol,1st level with HC formation,1st level with HC age,2nd level with HC formation,2nd level with HC age,3rd level with HC formation,3rd level with HC age,Drilling days,Reentry,Geodatum,Latitude,Longitude,Surface X,Surface Y,UTM zone,Grid system,DISKOS Well Type,DISKOS Wellbore Parent,Publication date,Release date,NPDID wellbore,NPDID discovery,NPDID field,NPDID drilling facility,NPDID wellbore reclassified from,NPDID production licence drilled in,Date main level updated,Date all updated,Date sync NPD
1/2-1,1/2-1,1382,1,2,Phillips Petroleum Norsk AS,143 ,WILDCAT,WILDCAT,P & A,OIL,P & A Oil,EXPLORATION, NO,1989-03-20,1989-06-04,BLANE,604-L,1/2-1 Blane,YES,147.0,PW 8303A - 10   SP. 290,2.0,22.0,,3574.0,72.0,,CAMPANIAN           ,TOR FM              ,NORTH SEA,NORWAY,ROSS ISLE,SEMISUB STEEL,MOVEABLE,12,NO,1989,1989,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,77,NO,ED50,56.887519,2.476583,468106.29,6305128.26,31,ED50 / UTM zone 31N,initial             ,                                        ,2007-12-19,1991-06-04,1382,43814,3437650,296245,0,21956.0,2019-10-03,2019-10-03,09.02.2020
1/2-2,1/2-2,5192,1,2,Paladin Resources Norge AS,143 CS,WILDCAT,WILDCAT,P & A,OIL SHOWS,P & A Oil Shows,EXPLORATION, NO,2005-12-14,2006-02-02,,1103-L,,NO,138.0,inline 7429-trace 4824 Survey PGS CGMNOR,4.9,40.0,3432.0,3434.0,74.0,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA,NORWAY,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,12,NO,2005,2006,,,,,,,,                    ,                    ,51,NO,ED50,56.992222,2.496572,469410.1,6316774.33,31,ED50 / UTM zone 31N,initial             ,                                        ,2008-08-15,2008-02-02,5192,0,0,278245,0,2424919.0,2019-10-03,2019-10-03,09.02.2020
1/3-1,1/3-1,154,1,3,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,GAS,P & A Gas,EXPLORATION, NO,1968-07-06,1968-11-11,,15-L,1/3-1,YES,182.0,LINE 5651  SP. E165,18.0,26.0,,4877.0,71.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,ORION,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1968,1968,,,,TOR FM,LATE CRETACEOUS,CROMER KNOLL GP,EARLY CRETACEOUS,                    ,                    ,129,NO,ED50,56.855833,2.851389,490936.87,6301488.86,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1970-11-11,154,43820,0,288604,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/3-2,1/3-2,165,1,3,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,DRY,P & A Dry,EXPLORATION, NO,1969-05-14,1969-07-27,,26-L,,NO,143.0,LINE 5656  SP.5125,0.0,26.0,,4297.0,73.0,,EARLY CRETACEOUS    ,SOLA FM             ,NORTH SEA,NORWAY,SEDNETH I,SEMISUB STEEL,MOVEABLE,1-A,NO,1969,1969,,,,,,,,                    ,                    ,75,NO,ED50,56.936111,2.75,484786.28,6310443.2,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1971-07-27,165,0,0,288847,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/3-3,1/3-3,87,1,3,Elf Petroleum Norge AS,065 ,WILDCAT,WILDCAT,P & A,OIL,P & A Oil,EXPLORATION, NO,1982-08-22,1983-03-24,TAMBAR,343-L,1/3-3 Tambar,YES,179.0,8186 - 216  sp264-8186-407 sp463,0.0,25.0,4875.0,4876.0,68.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,6,NO,1982,1983,,,,ULA FM,LATE JURASSIC,,,                    ,                    ,216,NO,ED50,56.952378,2.981681,498885.66,6312226.32,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1985-03-24,87,43826,1028599,288334,0,21316.0,2019-10-03,2019-10-03,09.02.2020
1/3-4,1/3-4,2,1,3,Elf Petroleum Norge AS,065 ,WILDCAT,WILDCAT,P & A,OIL SHOWS,P & A Oil Shows,EXPLORATION, NO,1983-02-15,1983-05-08,,361-L,,NO,144.0,8186 - 208 AND 8186 - 421 crossing of lines,0.0,25.0,3198.0,3198.0,72.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,DYVI ALPHA,SEMISUB STEEL,MOVEABLE,6,NO,1983,1983,,,,,,,,                    ,                    ,83,NO,ED50,56.944225,2.716731,482765.43,6311354.32,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1985-05-08,2,0,0,297514,0,21316.0,2019-10-03,2019-10-03,09.02.2020
1/3-5,1/3-5,223,1,3,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,DRY,P & A Dry,EXPLORATION, NO,1984-10-01,1985-02-11,,435-L,,NO,172.0,79111  SP. 527,0.0,35.0,4850.0,4850.0,71.0,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA,NORWAY,NEDDRILL TRIGON,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1984,1985,,,,,,,,                    ,                    ,134,NO,ED50,56.771117,2.894125,493528.57,6292053.66,31,ED50 / UTM zone 31N,initial             ,                                        ,2006-02-15,1987-02-11,223,0,0,296947,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/3-6,1/3-6,1521,1,3,Elf Petroleum Norge AS,065 ,WILDCAT,WILDCAT,P & A,GAS/CONDENSATE,P & A Gas Condensate,EXPLORATION, NO,1991-03-11,1991-06-22,OSELVAR,669-L,1/3-6 Oselvar,YES,142.0,LINJE SH 8902 - 161   SP436,4.5,25.0,3584.0,3586.0,72.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,NORWAY,DYVI STENA,SEMISUB STEEL,MOVEABLE,6,NO,1991,1991,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,105,NO,ED50,56.937478,2.705781,482095.98,6310606.04,31,ED50 / UTM zone 31N,initial             ,                                        ,2007-12-19,1993-06-22,1521,43832,5506919,290980,0,21316.0,2019-10-03,2019-10-03,09.02.2020
1/3-7,1/3-7,2505,1,3,Elf Petroleum Norge AS,065 ,APPRAISAL,APPRAISAL,P & A,OIL,P & A Oil,EXPLORATION, NO,1995-02-13,1995-05-25,OSELVAR,804-L,1/3-6 Oselvar,NO,136.0,BPN 9202  inline 1084 & xline3062,7.0,44.7,3342.0,3345.0,72.0,,PALEOCENE           ,VÅLE FM             ,NORTH SEA,NORWAY,WEST EPSILON,JACK-UP 3 LEGS,MOVEABLE,6,NO,1995,1995,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,102,NO,ED50,56.940319,2.676281,480302.33,6310930.49,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1997-05-25,2505,43832,5506919,296110,0,21316.0,2019-10-03,2019-10-03,09.02.2020
