Well,Casing type,Casing diam. [inch],Depth,Hole diam. [inch],Hole depth[m],LOT mud eqv. [g/cm3],Formation test type
6507/6-4 S,CONDUCTOR ,30    ,30.0,36    ,0.0,0.0,LOT
6406/9-3,CONDUCTOR ,36    ,45.0,42    ,0.0,0.0, 
2/5-4,CONDUCTOR ,30    ,45.0,36    ,46.0,0.0,LOT
7/9-1,CONDUCTOR ,30    ,108.0,36    ,110.0,0.0,LOT
8/12-1,CONDUCTOR ,30    ,114.0,36    ,114.0,0.0,LOT
2/3-2,CONDUCTOR ,30    ,116.0,36    ,117.0,0.0,LOT
8/10-2,CONDUCTOR ,30    ,118.0,36    ,118.0,0.0,LOT
2/7-14,CONDUCTOR ,30    ,123.0,36    ,126.0,0.0,LOT
2/3-3,CONDUCTOR ,30    ,123.0,36    ,123.0,0.0,LOT
2/3-1,CONDUCTOR ,30    ,123.0,36    ,124.0,0.0,LOT
9/10-1,CONDUCTOR ,30    ,123.0,36    ,123.0,0.0,LOT
8/4-1,CONDUCTOR ,30    ,125.0,36    ,125.0,0.0,LOT
7/8-1,CONDUCTOR ,30    ,125.0,36    ,125.0,0.0,LOT
2/6-1,CONDUCTOR ,30    ,125.0,36    ,127.0,0.0,LOT
8/11-1,CONDUCTOR ,30    ,126.0,36    ,130.0,0.0,LOT
9/11-1,CONDUCTOR ,30    ,127.0,36    ,127.0,0.0,LOT
16/9-1,CONDUCTOR ,30    ,127.0,36    ,131.0,0.0,LOT
2/5-1,CONDUCTOR ,30    ,127.0,36    ,128.0,0.0,LOT
2/7-24,CONDUCTOR ,30    ,127.0,36    ,128.0,0.0,LOT
3/7-1,CONDUCTOR ,30    ,127.0,36    ,127.0,0.0,LOT
2/7-15,CONDUCTOR ,30    ,128.0,36    ,128.0,0.0,LOT
2/8-2,CONDUCTOR ,30    ,129.0,36    ,136.0,0.0,LOT
2/7-2,SURF.COND.,30    ,129.0,36    ,129.0,0.0,LOT
7/12-1 S,CONDUCTOR ,30    ,129.0,36    ,129.0,0.0, 
2/10-1 S,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT
11/10-1,SURF.COND.,20    ,130.0,26    ,131.0,0.0,LOT
9/12-1,CONDUCTOR ,30    ,130.0,36    ,132.0,0.0,LOT
2/4-5,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT
2/4-6,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT
1/5-1,CONDUCTOR ,30    ,130.0,36    ,131.0,0.0,LOT
2/7-18,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT
2/6-2,CONDUCTOR ,30    ,130.0,36    ,133.0,0.0,LOT
2/7-17,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT
2/4-12,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT
2/4-3,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT
2/11-1,CONDUCTOR ,30    ,131.0,36    ,139.0,0.0,LOT
2/4-11,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT
16/7-1,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT
2/7-11,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0, 
7/11-2,CONDUCTOR ,30    ,132.0,36    ,132.0,0.0,LOT
8/1-1,CONDUCTOR ,30    ,132.0,36    ,135.0,0.0,LOT
2/4-2,CONDUCTOR ,30    ,132.0,36    ,133.0,0.0,LOT
1/5-2,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0,LOT
16/11-2,CONDUCTOR ,30    ,133.0,36    ,202.0,0.0,LOT
2/7-3,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0,LOT
2/7-7,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0, 
2/7-6,CONDUCTOR ,30    ,134.0,36    ,134.0,0.0,LOT
2/7-5,CONDUCTOR ,30    ,134.0,36    ,136.0,0.0,LOT
2/5-2,CONDUCTOR ,30    ,134.0,36    ,137.0,0.0,LOT
2/4-4,CONDUCTOR ,30    ,135.0,36    ,135.0,0.0,LOT
2/4-7,CONDUCTOR ,30    ,136.0,36    ,136.0,0.0,LOT
2/7-1,CONDUCTOR ,30    ,136.0,36    ,136.0,0.0, 
