Well,Top depth,Base depth,Legend
1/2-1,3111.4,3111.52,1
1/2-1,3113.84,3119.02,2
1/2-1,0.0,0.0,3
1/2-1,3126.03,3135.17,4
1/2-1,3135.17,3157.12,5
1/2-1,3157.12,3159.13,6
1/2-1,3160.17,3163.09,7
1/2-1,3160.17,3168.49,8
1/2-2,3141.5,3186.4,1
1/3-1,3403.4,3422.6,1
1/3-10,3159.0,3231.84,1
1/3-11,3288.0,3298.41,1
1/3-11,3300.0,3320.45,2
1/3-11,3320.6,3354.72,3
1/3-11,3398.9,3411.91,4
1/3-11,3412.8,3428.54,5
1/3-12 S,5876.0,5884.43,1
1/3-2,3589.02,3589.32,1
1/3-3,4129.0,4147.4,1
1/3-3,4181.0,4199.2,2
1/3-3,4199.2,4213.0,3
1/3-3,4213.0,4231.0,4
1/3-3,4231.0,4234.5,5
1/3-3,4234.5,4247.5,6
1/3-4,2780.0,2788.8,1
1/3-4,2817.0,2818.1,2
1/3-5,4805.0,4814.02,1
1/3-6,2921.0,2928.5,1
1/3-7,3164.0,3181.7,1
1/3-7,3188.0,3204.7,2
1/3-7,3205.0,3223.3,3
1/3-7,3224.0,3245.8,4
1/3-8,5024.0,5039.07,1
1/3-9 S,4273.0,4322.7,1
1/3-9 S,4323.0,4378.12,2
1/6-1,3177.54,3189.12,1
1/6-1,4604.31,4609.49,2
1/6-2,3226.25,3241.12,1
1/6-3,3123.29,3141.57,1
1/6-3,3136.39,3149.19,10
1/6-3,3150.41,3161.69,11
1/6-3,3156.81,3180.59,2
1/6-3,3180.59,3198.88,3
1/6-3,3198.88,3225.09,4
1/6-3,3225.09,3250.69,5
1/6-3,3250.69,3264.1,6
1/6-3,3264.1,3289.71,7
1/6-3,3289.71,3317.14,8
1/6-3,3317.14,3343.05,9
1/6-5,1725.0,1728.9,1
1/6-5,1742.5,1751.1,2
1/6-6,5555.0,5565.0,1
1/6-7,3295.0,3313.8,1
1/6-7,4754.0,4772.0,2
1/6-7,4773.0,4800.6,3
1/6-A-10,3118.71,3130.91,1
1/6-A-10,3271.11,3282.7,10
1/6-A-10,3282.7,3290.93,11
1/6-A-10,3300.98,3303.09,12
1/6-A-10,3541.78,3552.14,13
1/6-A-10,3573.48,3582.8,14
1/6-A-10,3584.75,3590.97,15
1/6-A-10,3592.07,3600.69,16
1/6-A-10,3601.52,3607.34,17
1/6-A-10,3132.43,3145.84,2
1/6-A-10,3146.15,3163.21,3
1/6-A-10,3163.21,3166.45,4
1/6-A-10,3166.57,3185.04,5
1/6-A-10,3184.86,3199.03,6
1/6-A-10,3198.88,3216.25,7
1/6-A-10,3217.16,3224.36,8
1/6-A-10,3258.92,32709.31,9
1/6-A-7,3404.31,3408.88,1
1/6-A-7,3410.1,3419.25,2
1/6-A-7,3448.81,3457.96,3
1/6-A-7,3457.96,3449.42,4
1/6-A-7,3484.17,3485.39,5
1/6-A-7,3493.01,3500.32,6
1/6-A-7,3501.85,3509.16,7
1/6-A-7,3538.73,3542.39,8
1/9-1,3048.0,3057.2,1
1/9-1,3198.3,3216.9,10
1/9-1,3216.9,3234.06,11
1/9-1,3327.2,3335.3,12
1/9-1,3057.2,3075.8,2
1/9-1,3075.8,3094.0,3
1/9-1,3094.0,3105.3,4
1/9-1,3105.3,3123.9,5
1/9-1,3123.9,3142.56,6
1/9-1,3142.5,3160.0,7
1/9-1,3161.0,3179.6,8
1/9-1,3179.6,3197.6,9
1/9-2,3130.9,3148.78,1
1/9-2,3149.1,3167.08,2
1/9-2,3167.4,3185.73,3
1/9-2,3185.73,3201.05,4
1/9-2,3201.05,3219.55,5
1/9-3 R,3053.0,3065.3,1
1/9-3 R,3066.7,3082.58,2
1/9-3 R,3105.27,3123.47,3
1/9-3 R,3164.63,3170.45,4
1/9-3 R,3175.15,3178.7,5
1/9-3 R,3191.79,3207.64,6
1/9-3 R,3208.26,3214.06,7
1/9-3 R,3214.94,3233.44,8
1/9-4,3122.75,3141.2,1
1/9-4,3141.2,3159.5,2
1/9-4,3159.5,3173.5,3
1/9-4,3173.5,3191.8,4
1/9-4,3191.8,3210.1,5
1/9-4,3210.1,3218.6,6
1/9-4,3219.9,3238.0,7
1/9-4,3238.2,3256.5,8
1/9-4,3256.5,3273.8,9
1/9-5,3215.7,3234.0,1
1/9-6 S,3415.7,3426.3,1
1/9-6 S,3556.5,3573.5,10
1/9-6 S,3575.04,3584.44,11
1/9-6 S,3584.79,3597.49,12
1/9-6 S,3598.0,3615.84,13
1/9-6 S,3618.1,3618.7,14
1/9-6 S,3427.0,3444.4,2
1/9-6 S,3445.0,3457.0,3
1/9-6 S,3463.55,3481.1,4
1/9-6 S,3481.7,3499.5,5
1/9-6 S,3500.9,3517.8,6
1/9-6 S,3518.7,3530.0,7
1/9-6 S,3530.5,3534.25,8
1/9-6 S,3537.86,3555.0,9
1/9-7,3104.4,3107.0,1
1/9-7,3107.0,3135.35,2
1/9-A-1 H,3226.0,3244.1,1
1/9-A-1 H,3277.0,3288.5,2
1/9-A-1 H,3291.5,3319.06,3
1/9-A-1 H,3319.0,3346.3,4
1/9-A-1 H,3346.5,3374.0,5
1/9-A-1 H,3374.2,3382.1,6
1/9-A-3 H,3089.0,3107.38,1
1/9-A-4 H,3353.0,3380.92,1
10/1-A-8,563.27,564.79,1
10/1-A-8,566.01,568.76,2
10/1-A-8,568.76,569.06,3
10/7-1,1561.0,1565.2,1
15/12-1,2612.14,2614.57,1
15/12-1,2614.88,2624.63,2
15/12-1,2634.08,2651.15,3
15/12-1,3067.2,3073.3,4
15/12-1,3125.72,3143.71,5
15/12-1,3143.71,3151.94,6
15/12-1,3154.68,3172.66,7
15/12-1,3172.66,3181.5,8
15/12-10 S,3427.0,3446.6,1
15/12-11 S,2724.0,2724.5,1
15/12-11 S,3400.0,3418.56,2
15/12-12,2864.0,2892.0,1
15/12-12,2892.0,2920.0,2
15/12-12,2920.0,2948.0,3
15/12-12,2948.0,2974.7,4
15/12-12,2976.0,2984.2,5
15/12-12,2986.0,2997.7,6
15/12-19,2975.0,3002.5,1
15/12-19,3002.5,3066.86,2
15/12-19,3067.1,3131.56,3
15/12-2,2823.0,2835.4,1
15/12-20 S,3815.0,3841.24,1
15/12-20 S,3843.0,3897.85,2
15/12-21,3054.0,3088.2,1
15/12-21,3113.0,3167.06,2
15/12-23,3187.0,3241.5,1
15/12-23,3241.5,3295.84,2
15/12-23 A,4614.5,4663.5,1
15/12-23 A,4664.0,4701.8,2
15/12-23 A,4701.2,4740.1,3
15/12-3,3256.0,3263.3,1
15/12-3,4424.0,4432.93,2
15/12-4,2439.0,2449.0,1
15/12-4,2494.5,2498.66,2
15/12-4,2499.0,2513.6,3
15/12-4,2902.0,2919.7,4
15/12-5,2892.0,2904.0,1
15/12-5,2910.5,2938.5,2
15/12-5,2939.0,2967.0,3
15/12-6 S,2838.0,2864.55,1
15/12-6 S,2865.0,2891.82,2
15/12-6 S,2892.0,2907.85,3
15/12-6 S,2910.0,2937.4,4
15/12-6 S,2937.55,2953.0,5
15/12-6 S,2953.0,2964.4,6
15/12-6 S,2980.0,2988.3,7
15/12-7 S,3028.0,3053.5,1
15/12-8 A,2841.0,2847.4,1
15/12-8 A,2847.4,2874.85,2
15/12-8 A,2874.85,2902.0,3
15/12-9 S,3389.0,3416.0,1
