Well,Test number,Top depth,Base depth,Choke size [mm],Final shut-in pressure [MPa],Final flow pressure [MPa],Bottom hole pressure [MPa],Oil [Sm3/day],Gas [Sm3/day],Oil density [g/cm3],Gas grav. rel.air,GOR [m3/m3],Downhole temperature [°C]
1/2-1,1.0,3122.3,3137.0,25.4,0.0,0.0,0.0,859,57000,0.81,0.0,66,0
1/3-1,1.0,4585.0,4602.0,12.5,80.0,61.0,0.0,0,1132,0.0,0.0,0,0
1/3-1,2.0,4565.0,4602.0,12.5,52.0,40.0,0.0,0,6626,0.0,0.0,0,0
1/3-1,3.0,3356.0,3361.0,12.5,70.0,50.0,0.0,0,28317,0.0,0.0,0,0
1/3-10,1.0,3158.0,3288.0,19.0,9.0,0.0,38.0,457,212453,0.791,0.855,465,0
1/3-3,1.0,4529.0,4552.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
1/3-3,2.0,4233.0,4240.0,9.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0
1/3-3,3.1,4202.0,4208.0,50.8,0.0,0.0,0.0,0,0,0.0,0.0,0,0
1/3-3,3.3,4211.0,4214.0,6.4,0.0,0.0,0.0,143,28000,0.829,0.82,196,165
1/3-6,1.0,2960.5,2977.0,17.5,0.0,3.0,0.0,78,93300,0.78,0.78,1196,107
1/3-6,2.0,2913.0,2953.0,15.8,0.0,6.8,0.0,153,172500,0.771,0.735,1131,112
1/3-7,1.1,3183.5,3215.5,12.5,0.0,30.0,0.0,49,16783,0.806,0.0,364,119
1/3-7,2.0,3183.5,3220.0,12.5,0.0,40.0,41.0,137,37762,0.79,0.0,281,126
1/5-2,1.0,3338.0,3363.0,0.0,0.0,0.0,0.0,5,0,0.87,0.0,0,0
1/5-2,2.0,3152.0,3174.0,21.4,0.0,0.0,0.0,500,180662,0.81,0.0,361,0
1/5-2,3.0,3076.0,3103.0,0.0,0.0,0.0,0.0,15,0,0.0,0.0,0,0
1/5-2,4.0,2832.0,2841.0,0.0,0.0,0.0,0.0,37,16707,0.82,0.0,456,0
1/6-1,1.0,3820.0,3833.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
1/6-1,2.0,3621.0,3633.0,12.0,0.0,0.0,0.0,32,16980,0.832,0.0,0,0
1/6-1,3.0,3271.0,3280.0,25.4,0.0,0.0,0.0,352,466893,0.794,0.69,0,0
1/6-1,4.0,3153.0,3159.0,25.4,0.0,0.0,0.0,24,51959,0.796,0.745,0,0
1/6-5,1.0,1722.0,1740.89,9.5,0.0,0.0,0.0,0,0,0.0,0.0,0,98
1/6-6,1.0,5391.0,5407.0,12.7,48.0,12.0,0.0,0,4300,0.0,0.67,0,0
1/9-1,1.0,3298.0,3310.0,19.0,0.0,0.0,0.0,0,0,0.0,0.0,0,120
1/9-1,2.0,3210.0,3220.0,19.0,0.0,0.0,0.0,0,0,0.0,0.0,0,116
1/9-1,3.0,3174.0,3182.0,19.0,0.0,0.0,0.0,0,0,0.0,0.0,0,117
1/9-1,4.0,3148.0,3157.0,9.5,0.0,41.0,0.0,420,154000,0.849,0.699,380,120
1/9-1,5.0,3120.0,3133.0,9.5,0.0,27.0,0.0,460,251000,0.818,0.68,550,120
1/9-1,5.1,3129.0,3133.0,5.0,21.0,0.0,0.0,98,45000,0.836,0.71,600,121
1/9-1,6.0,3105.0,3109.0,8.4,14.3,0.0,0.0,127,130000,0.796,0.708,990,118
1/9-1,7.0,3082.0,3088.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
1/9-1,8.0,3055.0,3068.0,4.6,11.1,0.0,0.0,90,218000,0.76,0.691,2336,116
1/9-1,8.1,3055.0,3068.0,18.3,13.3,0.0,0.0,1007,0,0.0,0.0,0,111
1/9-2,1.0,3197.0,3209.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
