Well,Top depth,Base depth,Legend
9/8-1,1597.0,1625.0,BLODØKS FM
9/8-1,1922.0,2109.0,SANDNES FM
9/8-1,1275.0,1625.0,SHETLAND GP
9/8-1,1300.0,1530.0,TOR FM
9/8-1,1922.0,2109.0,VESTLAND GP
9/8-1,1233.0,1275.0,VÅLE FM
9/8-1,1825.0,1922.0,EGERSUND FM
9/8-1,1530.0,1597.0,HOD FM
9/8-1,98.0,568.0,NORDLAND GP
9/8-1,1120.0,1275.0,ROGALAND GP
9/8-1,1625.0,1695.0,RØDBY FM
9/8-1,1140.0,1177.0,SELE FM
9/8-1,1777.0,1922.0,BOKNFJORD GP
9/8-1,2109.0,2176.0,ZECHSTEIN GP
9/8-1,1695.0,1777.0,ÅSGARD FM
9/8-1,1777.0,1825.0,BØRGLUM UNIT
9/8-1,1625.0,1777.0,CROMER KNOLL GP
9/8-1,1275.0,1300.0,EKOFISK FM
9/8-1,1120.0,1140.0,BALDER FM
9/8-1,568.0,1120.0,HORDALAND GP
9/8-1,1177.0,1233.0,LISTA FM
9/4-5,1134.0,1210.0,LISTA FM
9/4-5,1261.0,1396.5,EKOFISK FM
9/4-5,2300.0,2387.0,FLEKKEFJORD FM
9/4-5,2835.5,5224.0,NO GROUP DEFINED
9/4-5,5838.0,5881.0,UNDEFINED GP
9/4-5,5224.0,5278.5,ZECHSTEIN GP
9/4-5,2782.5,2835.5,BRYNE FM
9/4-5,2300.0,2703.0,BOKNFJORD GP
9/4-5,4638.0,5224.0,SMITH BANK FM
9/4-5,2835.5,4638.0,SKAGERRAK FM
9/4-5,1261.0,2006.0,SHETLAND GP
9/4-5,2602.5,2654.0,TAU FM
9/4-5,5278.5,5838.0,ROTLIEGEND GP
9/4-5,2387.0,2602.5,SAUDA FM
9/4-5,1076.5,1098.0,BALDER FM
9/4-5,607.0,1076.5,HORDALAND GP
9/4-5,2654.0,2703.0,EGERSUND FM
9/4-5,1210.0,1261.0,VÅLE FM
9/4-5,2006.0,2300.0,CROMER KNOLL GP
9/4-5,2703.0,2835.5,VESTLAND GP
9/4-5,1396.5,2006.0,TOR FM
9/4-5,1098.0,1134.0,SELE FM
9/4-5,2703.0,2782.5,SANDNES FM
9/4-5,1076.5,1261.0,ROGALAND GP
9/4-5,121.0,607.0,NORDLAND GP
9/4-4,1853.0,1888.0,RØDBY FM
9/4-4,1825.0,1840.0,BLODØKS FM
9/4-4,2718.0,2814.0,SANDNES FM
9/4-4,1302.0,1650.0,TOR FM
9/4-4,2718.0,2845.0,VESTLAND GP
9/4-4,1260.0,1853.0,SHETLAND GP
9/4-4,1888.0,2016.0,SOLA FM
9/4-4,2845.0,2902.0,NO GROUP DEFINED
9/4-4,1853.0,2310.0,CROMER KNOLL GP
9/4-4,1243.0,1260.0,VÅLE FM
9/4-4,2016.0,2310.0,ÅSGARD FM
9/4-4,2668.0,2718.0,EGERSUND FM
9/4-4,1065.0,1086.0,BALDER FM
9/4-4,1650.0,1825.0,HOD FM
9/4-4,1840.0,1853.0,HIDRA FM
9/4-4,1130.0,1243.0,LISTA FM
9/4-4,2395.0,2598.0,SAUDA FM
9/4-4,1065.0,1260.0,ROGALAND GP
9/4-4,103.0,550.0,NORDLAND GP
9/4-4,2598.0,2668.0,TAU FM
9/4-4,1086.0,1130.0,SELE FM
9/4-4,2845.0,2902.0,SKAGERRAK FM
9/4-4,2310.0,2718.0,BOKNFJORD GP
9/4-4,2814.0,2845.0,BRYNE FM
9/4-4,2310.0,2395.0,FLEKKEFJORD FM
9/4-4,1260.0,1302.0,EKOFISK FM
9/4-4,550.0,1065.0,HORDALAND GP
9/4-3,520.0,1092.0,HORDALAND GP
9/4-3,1092.0,1114.0,BALDER FM
