Well,Depth,Legend
1/3-1,11221.0,Thin section no. 117
1/3-1,11221.0,Thin section no. 118
1/3-5,4809.0,Thin section no. 121
1/3-5,4812.0,Thin section no. 122
1/3-5,4805.35,Thin section no. 2319
1/3-5,4810.35,Thin section no. 2320
1/6-1,15117.0,Thin section no. 124
1/9-1,3048.0,Thin section no. 133
1/9-1,3061.0,Thin section no. 134
1/9-1,3070.0,Thin section no. 135
1/9-1,3105.0,Thin section no. 136
1/9-1,3116.0,Thin section no. 137
1/9-1,3134.0,Thin section no. 138
1/9-1,3144.0,Thin section no. 139
1/9-1,3149.0,Thin section no. 140
1/9-1,3154.0,Thin section no. 141
1/9-1,3160.0,Thin section no. 142
1/9-1,3217.0,Thin section no. 143
1/9-1,3226.0,Thin section no. 144
1/9-1,3233.0,Thin section no. 145
1/9-1,3328.0,Thin section no. 146
1/9-1,3336.0,Thin section no. 147
15/12-3,4426.94,Thin section no. 2346
15/12-3,4429.93,Thin section no. 2347
15/12-3,4431.12,Thin section no. 2348
15/3-1 S,4083.5,Thin section no. 2357
15/3-1 S,4084.75,Thin section no. 2358
15/3-1 S,4085.5,Thin section no. 2359
15/3-1 S,4141.5,Thin section no. 2360
15/3-1 S,4143.5,Thin section no. 2361
15/3-1 S,4145.0,Thin section no. 2362
15/3-1 S,4146.25,Thin section no. 2363
15/3-1 S,4148.25,Thin section no. 2364
15/3-2,4402.53,Thin section no. 2365
15/3-2,4403.17,Thin section no. 2366
15/3-2,4403.34,Thin section no. 2367
15/3-8,4170.25,Thin section no. 2368
15/3-8,4176.5,Thin section no. 2369
15/3-8,4180.3,Thin section no. 2370
15/3-8,4205.44,Thin section no. 2371
15/3-8,4209.2,Thin section no. 2372
15/3-8,4211.75,Thin section no. 2373
15/3-8,4218.5,Thin section no. 2374
15/3-8,4223.0,Thin section no. 2375
15/3-8,4228.75,Thin section no. 2376
15/3-8,4236.5,Thin section no. 2377
15/3-8,4244.0,Thin section no. 2378
15/3-8,4247.5,Thin section no. 2379
15/3-8,4254.5,Thin section no. 2380
15/3-8,4268.5,Thin section no. 2381
15/3-8,4270.6,Thin section no. 2382
15/3-8,4285.75,Thin section no. 2383
15/3-8,4292.0,Thin section no. 2384
15/3-8,4298.75,Thin section no. 2385
15/3-8,4483.54,Thin section no. 2386
15/3-8,4488.0,Thin section no. 2387
15/3-8,4501.25,Thin section no. 2388
15/6-3,11390.0,Thin section no. 148
15/9-9,3032.56,Thin section no. 2342
15/9-9,3035.03,Thin section no. 2343
15/9-9,3036.03,Thin section no. 2344
15/9-9,3041.02,Thin section no. 2345
16/1-1,2250.0,Thin section no. 150
16/1-1,2250.0,Thin section no. 151
16/1-1,2250.0,Thin section no. 152
16/1-1,2250.0,Thin section no. 153
16/1-1,2251.0,Thin section no. 154
16/1-1,2251.0,Thin section no. 155
16/1-1,2251.0,Thin section no. 156
16/1-1,2251.0,Thin section no. 157
16/1-1,2251.0,Thin section no. 158
16/1-1,2251.0,Thin section no. 159
16/1-1,2251.0,Thin section no. 160
16/1-1,2251.0,Thin section no. 161
16/1-1,2251.0,Thin section no. 162
16/1-2,2711.14,Thin section no. 2168
16/1-2,2426.29,Thin section no. 2169
16/1-2,2429.32,Thin section no. 2170
16/1-2,2432.35,Thin section no. 2171
16/1-2,2435.38,Thin section no. 2172
16/1-2,2438.41,Thin section no. 2173
16/1-2,2441.44,Thin section no. 2174
16/1-2,2444.47,Thin section no. 2175
16/1-2,2447.5,Thin section no. 2176
16/1-2,2450.53,Thin section no. 2177
16/1-2,2453.56,Thin section no. 2178
16/1-2,2456.59,Thin section no. 2179
16/1-2,2459.62,Thin section no. 2180
16/1-2,2462.65,Thin section no. 2181
16/1-2,2465.68,Thin section no. 2182
16/1-2,2477.8,Thin section no. 2183
16/1-2,2501.04,Thin section no. 2184
16/1-2,2522.25,Thin section no. 2185
16/1-2,2543.46,Thin section no. 2186
16/1-2,2564.67,Thin section no. 2187
16/1-2,2585.88,Thin section no. 2188
16/1-2,2603.06,Thin section no. 2189
16/1-2,2624.27,Thin section no. 2190
16/1-2,2645.48,Thin section no. 2191
16/1-2,2666.69,Thin section no. 2192
16/1-2,2690.93,Thin section no. 2193
16/5-1,1941.0,Thin section no. 167
16/5-1,1883.0,Thin section no. 168
16/6-1,2059.0,Thin section no. 169
16/6-1,2059.0,Thin section no. 170
16/6-1,2061.0,Thin section no. 171
17/4-1,2278.7,Thin section no. 172
17/4-1,2283.1,Thin section no. 173
17/4-1,2884.9,Thin section no. 174
17/4-1,3381.25,Thin section no. 175
17/4-1,3881.95,Thin section no. 2349
17/4-1,3883.35,Thin section no. 2350
2/11-1,12695.0,Thin section no. 386
2/11-6 S,3721.36,Thin section no. 1985
2/11-6 S,3722.5,Thin section no. 1986
2/11-6 S,3718.2,Thin section no. 1987
2/11-6 S,3720.0,Thin section no. 1988
2/11-A-2,3412.5,Thin section no. 1993
2/11-A-2,3417.2,Thin section no. 1994
2/11-A-2,3414.5,Thin section no. 1995
2/1-2,3331.6,Thin section no. 176
2/12-1,4637.0,Thin section no. 387
2/12-1,4646.0,Thin section no. 388
2/12-1,4656.0,Thin section no. 389
2/12-1,4662.0,Thin section no. 390
2/12-1,4665.0,Thin section no. 391
2/12-1,4671.0,Thin section no. 392
2/1-4,4036.0,Thin section no. 177
2/1-4,4038.0,Thin section no. 178
2/1-4,4043.0,Thin section no. 179
2/1-4,4048.0,Thin section no. 180
2/1-4,4056.0,Thin section no. 181
2/1-4,4061.0,Thin section no. 182
2/1-4,4065.0,Thin section no. 183
2/1-4,4076.0,Thin section no. 184
2/1-4,4088.0,Thin section no. 185
2/1-4,4096.0,Thin section no. 186
2/1-4,4106.0,Thin section no. 187
2/1-4,4116.0,Thin section no. 188
2/1-4,4127.0,Thin section no. 189
2/1-4,4130.0,Thin section no. 190
2/1-4,4138.0,Thin section no. 191
2/1-6,4127.0,Thin section no. 192
2/1-6,4164.0,Thin section no. 193
2/1-6,4181.0,Thin section no. 194
2/1-6,4197.0,Thin section no. 195
2/1-6,4334.0,Thin section no. 196
2/1-6,4354.0,Thin section no. 197
2/1-6,4363.0,Thin section no. 198
2/1-6,4374.0,Thin section no. 199
2/1-6,4391.0,Thin section no. 200
2/1-7,5115.05,Thin section no. 2321
2/1-7,5116.35,Thin section no. 2322
2/1-7,5116.65,Thin section no. 2323
2/1-7,5119.35,Thin section no. 2324
2/1-7,5122.35,Thin section no. 2325
2/1-7,5125.0,Thin section no. 2326
2/1-7,5125.35,Thin section no. 2327
2/1-7,5126.35,Thin section no. 2328
2/1-7,5148.65,Thin section no. 2329
2/1-7,5156.35,Thin section no. 2330
2/1-7,5164.65,Thin section no. 2331
2/2-1,3358.0,Thin section no. 201
2/2-1,3361.0,Thin section no. 202
2/2-1,3364.0,Thin section no. 203
2/2-1,3714.0,Thin section no. 204
2/2-1,3716.0,Thin section no. 205
2/2-1,3720.0,Thin section no. 206
2/2-1,3721.0,Thin section no. 207
