Well,Casing type,Casing diam. [inch],Depth,Hole diam. [inch],Hole depth[m],LOT mud eqv. [g/cm3],Formation test type,NPDID wellbore
6507/6-4 S,CONDUCTOR ,30    ,30.0,36    ,0.0,0.0,LOT,6725
6406/9-3,CONDUCTOR ,36    ,45.0,42    ,0.0,0.0, ,7141
2/5-4,CONDUCTOR ,30    ,45.0,36    ,46.0,0.0,LOT,259
7/9-1,CONDUCTOR ,30    ,108.0,36    ,110.0,0.0,LOT,191
8/12-1,CONDUCTOR ,30    ,114.0,36    ,114.0,0.0,LOT,193
2/3-2,CONDUCTOR ,30    ,116.0,36    ,117.0,0.0,LOT,169
8/10-2,CONDUCTOR ,30    ,118.0,36    ,118.0,0.0,LOT,226
2/7-14,CONDUCTOR ,30    ,123.0,36    ,126.0,0.0,LOT,116
2/3-3,CONDUCTOR ,30    ,123.0,36    ,123.0,0.0,LOT,198
2/3-1,CONDUCTOR ,30    ,123.0,36    ,124.0,0.0,LOT,162
9/10-1,CONDUCTOR ,30    ,123.0,36    ,123.0,0.0,LOT,183
8/4-1,CONDUCTOR ,30    ,125.0,36    ,125.0,0.0,LOT,302
7/8-1,CONDUCTOR ,30    ,125.0,36    ,125.0,0.0,LOT,158
2/6-1,CONDUCTOR ,30    ,125.0,36    ,127.0,0.0,LOT,160
8/11-1,CONDUCTOR ,30    ,126.0,36    ,130.0,0.0,LOT,304
9/11-1,CONDUCTOR ,30    ,127.0,36    ,127.0,0.0,LOT,194
16/9-1,CONDUCTOR ,30    ,127.0,36    ,131.0,0.0,LOT,151
2/5-1,CONDUCTOR ,30    ,127.0,36    ,128.0,0.0,LOT,178
2/7-24,CONDUCTOR ,30    ,127.0,36    ,128.0,0.0,LOT,1613
3/7-1,CONDUCTOR ,30    ,127.0,36    ,127.0,0.0,LOT,292
2/7-15,CONDUCTOR ,30    ,128.0,36    ,128.0,0.0,LOT,225
2/8-2,CONDUCTOR ,30    ,129.0,36    ,136.0,0.0,LOT,155
2/7-2,SURF.COND.,30    ,129.0,36    ,129.0,0.0,LOT,187
7/12-1 S,CONDUCTOR ,30    ,129.0,36    ,129.0,0.0, ,157
2/10-1 S,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT,284
11/10-1,SURF.COND.,20    ,130.0,26    ,131.0,0.0,LOT,170
9/12-1,CONDUCTOR ,30    ,130.0,36    ,132.0,0.0,LOT,163
2/4-5,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT,177
2/4-6,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT,181
1/5-1,CONDUCTOR ,30    ,130.0,36    ,131.0,0.0,LOT,237
2/7-18,CONDUCTOR ,30    ,130.0,36    ,130.0,0.0,LOT,206
2/6-2,CONDUCTOR ,30    ,130.0,36    ,133.0,0.0,LOT,224
2/7-17,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT,200
2/4-12,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT,256
2/4-3,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT,97
2/11-1,CONDUCTOR ,30    ,131.0,36    ,139.0,0.0,LOT,168
2/4-11,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT,255
16/7-1,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0,LOT,146
2/7-11,CONDUCTOR ,30    ,131.0,36    ,131.0,0.0, ,270
7/11-2,CONDUCTOR ,30    ,132.0,36    ,132.0,0.0,LOT,156
8/1-1,CONDUCTOR ,30    ,132.0,36    ,135.0,0.0,LOT,301
2/4-2,CONDUCTOR ,30    ,132.0,36    ,133.0,0.0,LOT,172
1/5-2,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0,LOT,238
16/11-2,CONDUCTOR ,30    ,133.0,36    ,202.0,0.0,LOT,336
2/7-3,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0,LOT,262
2/7-7,CONDUCTOR ,30    ,133.0,36    ,133.0,0.0, ,266
2/7-6,CONDUCTOR ,30    ,134.0,36    ,134.0,0.0,LOT,265
2/7-5,CONDUCTOR ,30    ,134.0,36    ,136.0,0.0,LOT,264
