Well,Sample sequence number,Top depth,Base depth,CO2 [vol %],Sample type,NPDID wellbore
15/3-7,1,4073.8,4610.1,18900,MDT ,4055
17/3-1,1,2406.1,2406.1,3020,MDT ,2576
2/7-22,1,4489.0,4496.0,4500,DST ,1495
3/7-4,1,3440.0,3537.0,4620,DST ,1467
30/3-4,1,3079.0,3096.0,5300,DST ,460
30/3-7 B,1,5903.0,5903.0,4900,MDT ,3229
34/11-4,1,4151.0,4151.0,4300,MDT ,3314
34/11-4,1,4194.8,4194.8,4400,MDT ,3314
34/7-12,1,2276.2,2282.5,3600,DST ,1187
34/7-16 R,1,2821.0,2837.0,3900,DST ,1677
34/8-7 R,1,4617.7,4731.0,6900,DST ,2057
35/10-2,1,4217.9,4217.9,3700,FMT ,2783
6406/1-1,1,4680.0,4680.0,4200,MDT ,4262
6406/2-2,1,4654.3,4654.3,9300,FMT ,2644
6406/2-2,1,4714.5,4745.6,6000,DST ,2644
6406/2-2,2,4714.5,4745.6,6000,DST ,2644
6406/2-2,1,4868.0,4927.0,6500,DST ,2644
6406/2-2,2,4868.0,4927.0,6100,DST ,2644
6406/2-3,1,4629.0,4654.4,5100,DST ,2849
6406/2-3,1,4806.6,4832.0,3800,DST ,2849
6406/2-3,1,4811.5,4811.5,3600,FMT ,2849
6406/2-4 SR,1,4684.0,4704.0,5800,DST ,3627
6406/2-4 SR,2,4684.0,4704.0,6200,DST ,3627
6406/2-4 SR,1,4874.0,4904.0,7900,DST ,3627
6406/3-1,1,3782.5,3787.5,10000,DST ,108
6406/3-1,2,3782.5,3787.5,13000,DST ,108
6406/3-2,1,3937.0,3995.0,5500,DST ,863
6406/8-1,1,4413.5,4453.5,18630,DST ,1136
6406/8-1,2,4413.5,4453.5,19070,DST ,1136
6407/1-3,1,3676.0,3676.0,3100,RFT ,29
6407/4-1,1,3889.0,3919.0,4500,DST ,490
6407/7-4,1,3126.0,3138.5,14600,DST ,1360
6506/11-2,1,4005.0,4048.0,5000,DST ,1754
6506/11-2,1,4371.0,4420.0,5700,DST ,1754
6506/11-2,1,4553.2,4597.2,7300,DST ,1754
6506/11-2,1,4668.0,4707.0,6300,DST ,1754
6506/11-4 S,1,4116.5,4137.0,7800,DST ,2736
6506/11-5 S,1,4674.0,4674.0,5600,MDT ,2794
6506/11-6,1,4651.0,4669.0,4200,DST ,3306
6506/11-6,1,4695.0,4737.0,3900,DST ,3306
6506/11-6,1,4839.0,4849.0,3100,DST ,3306
6506/11-7,1,4590.0,4631.0,3000,DST ,3322
6506/11-7,1,4668.0,4700.0,3600,DST ,3322
6506/12-1,1,3993.0,4011.0,5600,DST ,1004
6506/12-1,1,4203.0,4218.0,4900,DST ,1004
6506/12-1,1,4251.0,4261.0,6900,DST ,1004
