Well,NPDID wellbore,Top depth,Base depth,Legend
1/2-1,1382,3111.4,3111.52,1
1/2-1,1382,3113.84,3119.02,2
1/2-1,1382,3126.03,3135.17,4
1/2-1,1382,3135.17,3157.12,5
1/2-1,1382,3157.12,3159.13,6
1/2-1,1382,3160.17,3163.09,7
1/2-1,1382,3160.17,3168.49,8
1/2-2,5192,3141.5,3186.4,1
1/3-1,154,3403.4,3422.6,1
1/3-10,5614,3159.0,3231.84,1
1/3-11,5806,3288.0,3298.41,1
1/3-11,5806,3300.0,3320.45,2
1/3-11,5806,3320.6,3354.72,3
1/3-11,5806,3398.9,3411.91,4
1/3-11,5806,3412.8,3428.54,5
1/3-12 S,6260,5876.0,5884.43,1
1/3-2,165,3589.02,3589.32,1
1/3-3,87,4129.0,4147.4,1
1/3-3,87,4181.0,4199.2,2
1/3-3,87,4199.2,4213.0,3
1/3-3,87,4213.0,4231.0,4
1/3-3,87,4231.0,4234.5,5
1/3-3,87,4234.5,4247.5,6
1/3-4,2,2780.0,2788.8,1
1/3-4,2,2817.0,2818.1,2
1/3-5,223,4805.0,4814.02,1
1/3-6,1521,2921.0,2928.5,1
1/3-7,2505,3164.0,3181.7,1
1/3-7,2505,3188.0,3204.7,2
1/3-7,2505,3205.0,3223.3,3
1/3-7,2505,3224.0,3245.8,4
1/3-8,2829,5024.0,5039.07,1
1/3-9 S,3362,4273.0,4322.7,1
1/3-9 S,3362,4323.0,4378.12,2
1/6-1,239,3177.54,3189.12,1
1/6-1,239,4604.31,4609.49,2
1/6-2,240,3226.25,3241.12,1
1/6-3,241,3123.29,3141.57,1
1/6-3,241,3136.39,3149.19,10
1/6-3,241,3150.41,3161.69,11
1/6-3,241,3156.81,3180.59,2
1/6-3,241,3180.59,3198.88,3
1/6-3,241,3198.88,3225.09,4
1/6-3,241,3225.09,3250.69,5
1/6-3,241,3250.69,3264.1,6
1/6-3,241,3264.1,3289.71,7
1/6-3,241,3289.71,3317.14,8
1/6-3,241,3317.14,3343.05,9
1/6-5,1508,1725.0,1728.9,1
1/6-5,1508,1742.5,1751.1,2
1/6-6,1839,5555.0,5565.0,1
1/6-7,1928,3295.0,3313.8,1
1/6-7,1928,4754.0,4772.0,2
1/6-7,1928,4773.0,4800.6,3
1/6-A-10,530,3118.71,3130.91,1
1/6-A-10,530,3271.11,3282.7,10
1/6-A-10,530,3282.7,3290.93,11
1/6-A-10,530,3300.98,3303.09,12
1/6-A-10,530,3541.78,3552.14,13
1/6-A-10,530,3573.48,3582.8,14
1/6-A-10,530,3584.75,3590.97,15
1/6-A-10,530,3592.07,3600.69,16
1/6-A-10,530,3601.52,3607.34,17
1/6-A-10,530,3132.43,3145.84,2
1/6-A-10,530,3146.15,3163.21,3
1/6-A-10,530,3163.21,3166.45,4
1/6-A-10,530,3166.57,3185.04,5
1/6-A-10,530,3184.86,3199.03,6
1/6-A-10,530,3198.88,3216.25,7
1/6-A-10,530,3217.16,3224.36,8
1/6-A-10,530,3258.92,32709.31,9
1/6-A-7,903,3404.31,3408.88,1
1/6-A-7,903,3410.1,3419.25,2
1/6-A-7,903,3448.81,3457.96,3
1/6-A-7,903,3457.96,3449.42,4
1/6-A-7,903,3484.17,3485.39,5
1/6-A-7,903,3493.01,3500.32,6
1/6-A-7,903,3501.85,3509.16,7
1/6-A-7,903,3538.73,3542.39,8
1/9-1,243,3048.0,3057.2,1
1/9-1,243,3198.3,3216.9,10
1/9-1,243,3216.9,3234.06,11
1/9-1,243,3327.2,3335.3,12
1/9-1,243,3057.2,3075.8,2
1/9-1,243,3075.8,3094.0,3
1/9-1,243,3094.0,3105.3,4
1/9-1,243,3105.3,3123.9,5
1/9-1,243,3123.9,3142.56,6
