Wellbore,Title,Document URL
1/2-1,1/2-1 GEOCHEMICAL INFORMATION: 1382_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1382_1.pdf
1/2-1,1/2-1 GEOCHEMICAL INFORMATION: 1382_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1382_2.pdf
1/2-1,1/2-1 OLD NPD WDSS: 1382_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/1382_01_WDSS_General_Information.pdf
1/2-1,1/2-1 OLD NPD WDSS: 1382_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/1382_02_WDSS_completion_log.pdf
1/2-1,1/2-1 PRESSURE PLOT: 1382_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/1382_Formation_pressure_(Formasjonstrykk).pdf
1/2-1,1/2-1 REPORTED BY LICENSEE: 1382_1_2_1_COMPLETION_LOG (pdf),https://factpages.npd.no/pbl/wellbore_documents/1382_1_2_1_COMPLETION_LOG.pdf
1/2-1,1/2-1 REPORTED BY LICENSEE: 1382_1_2_1_COMPLETION_REPORT (pdf),https://factpages.npd.no/pbl/wellbore_documents/1382_1_2_1_COMPLETION_REPORT.pdf
1/3-1,1/3-1 GEOCHEMICAL INFORMATION: 154_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/154_1.pdf
1/3-1,1/3-1 GEOCHEMICAL INFORMATION: 154_2 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/154_2.pdf
1/3-1,1/3-1 NPD PAPER: 154_01_NPD_Paper_No.15_Lithology__Well_1_3_1 (pdf),https://factpages.npd.no/pbl/NPD_papers/154_01_NPD_Paper_No.15_Lithology__Well_1_3_1.pdf
1/3-1,1/3-1 NPD PAPER: 154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1 (pdf),https://factpages.npd.no/pbl/NPD_papers/154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1.pdf
1/3-1,1/3-1 OLD NPD WDSS: 154_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/154_01_WDSS_General_Information.pdf
