Well,Test number,Top depth,Base depth,Overlap
1/2-1,1.0,3122.3,3137.0,
1/3-1,1.0,4585.0,4602.0,0.0
1/3-1,2.0,4565.0,4602.0,37.0
1/3-1,3.0,3356.0,3361.0,1246.0
1/3-10,1.0,3158.0,3288.0,0.0
1/3-3,1.0,4529.0,4552.0,0.0
1/3-3,2.0,4233.0,4240.0,319.0
1/3-3,3.1,4202.0,4208.0,38.0
1/3-3,3.3,4211.0,4214.0,0.0
1/3-6,1.0,2960.5,2977.0,0.0
1/3-6,2.0,2913.0,2953.0,64.0
1/3-7,1.1,3183.5,3215.5,0.0
1/3-7,2.0,3183.5,3220.0,32.0
1/5-2,1.0,3338.0,3363.0,0.0
1/5-2,2.0,3152.0,3174.0,211.0
1/5-2,3.0,3076.0,3103.0,98.0
1/5-2,4.0,2832.0,2841.0,271.0
1/6-1,1.0,3820.0,3833.0,0.0
1/6-1,2.0,3621.0,3633.0,212.0
1/6-1,3.0,3271.0,3280.0,362.0
1/6-1,4.0,3153.0,3159.0,127.0
1/6-5,1.0,1722.0,1740.9,0.0
1/6-6,1.0,5391.0,5407.0,0.0
1/9-1,1.0,3298.0,3310.0,0.0
1/9-1,2.0,3210.0,3220.0,100.0
1/9-1,3.0,3174.0,3182.0,46.0
1/9-1,4.0,3148.0,3157.0,34.0
1/9-1,5.0,3120.0,3133.0,37.0
1/9-1,5.1,3129.0,3133.0,4.0
1/9-1,6.0,3105.0,3109.0,28.0
1/9-1,7.0,3082.0,3088.0,27.0
1/9-1,8.0,3055.0,3068.0,33.0
1/9-1,8.1,3055.0,3068.0,13.0
1/9-2,1.0,3197.0,3209.0,0.0
1/9-2,2.0,3130.0,3154.0,79.0
1/9-3,1.0,3205.0,3214.0,0.0
1/9-3,2.0,3157.0,3180.0,57.0
1/9-3,3.0,3126.0,3125.0,54.0
1/9-3,4.0,3094.0,3112.0,31.0
1/9-4,1.0,3292.0,3296.0,0.0
1/9-4,2.0,3235.0,3255.0,61.0
1/9-4,3.0,3176.0,3198.0,79.0
1/9-4,4.0,3137.0,3127.0,61.0
1/9-6 S,1.0,3771.6,3776.8,0.0
1/9-6 S,2.0,3636.3,3654.6,140.5
1/9-6 S,3.0,3523.5,3587.5,131.1
1/9-6 S,4.0,3417.0,3459.0,170.5
15/12-16 S,1.0,2850.0,2884.0,0.0
15/12-19,1.0,3088.0,3102.0,0.0
15/12-19,2.0,3036.0,3102.0,66.0
15/12-19,3.0,3023.0,3102.0,79.0
15/12-21,1.0,3099.0,3158.0,0.0
15/12-21,2.0,3030.0,3059.0,128.0
15/12-23,1.0,3181.0,3233.0,0.0
15/12-5,1.0,2926.0,2936.0,0.0
15/12-6 S,1.0,2922.0,2930.0,0.0
15/12-6 S,2.0,2875.0,2895.0,55.0
15/12-8,1.0,2838.0,2869.0,0.0
15/12-9 S,1.0,3545.0,0.0,0.0
15/12-9 S,2.0,3385.0,0.0,0.0
15/3-3,1.0,4967.0,4990.0,0.0
15/3-3,2.0,4615.0,4615.0,375.0
15/3-4,1.0,3789.0,3807.0,0.0
15/3-8,1.0,4141.0,4183.0,0.0
15/3-8,2.0,4073.0,4087.0,110.0
15/5-1,1.0,3610.0,3614.0,0.0
15/5-1,2.0,3561.0,3584.0,53.0
15/5-4,1.0,2124.0,2136.0,0.0
15/5-5,1.0,2154.0,2183.0,0.0
15/6-11 A,1.0,4148.0,4180.0,0.0
15/6-3,1.0,3514.0,3520.0,0.0
15/6-6,1.0,3568.0,3578.0,0.0
15/8-1,1.0,4079.0,4085.0,0.0
15/8-1,2.0,3911.0,3926.0,174.0
15/8-1,3.0,3688.0,3697.0,238.0
15/8-1,4.0,3543.0,3653.0,154.0
15/9-1,1.0,3655.0,3660.0,0.0
15/9-1,2.0,3602.0,3607.0,58.0
15/9-11,1.0,2797.0,2807.0,0.0
15/9-11,2.0,2432.0,2440.0,375.0
15/9-11,3.0,2395.0,2415.0,45.0
15/9-12,1.0,3585.0,3595.0,0.0
15/9-12,2.0,3512.0,3522.0,83.0
15/9-13,1.0,2765.0,2769.0,0.0
15/9-13,2.0,2422.0,2427.0,347.0
15/9-15,1.0,2880.0,2890.0,0.0
15/9-15,2.0,2830.0,2850.0,60.0
15/9-17,1.0,2802.0,2814.0,0.0
15/9-17,2.0,2726.0,2741.0,88.0
15/9-17,3.0,2381.0,2414.0,360.0
15/9-19 A,1.0,3099.0,3102.0,0.0
15/9-19 A,2.0,3046.0,3081.0,56.0
15/9-19 SR,1.0,4316.0,4338.0,0.0
15/9-5,1.0,3617.0,3647.0,0.0
15/9-5,2.0,3588.0,3593.0,59.0
15/9-5,3.0,3511.0,3521.0,82.0
15/9-6,1.0,3671.0,3674.0,0.0
15/9-6,2.0,3637.0,3638.0,37.0
15/9-6,3.0,3555.0,3565.0,83.0
15/9-7,1.0,3671.0,3674.0,0.0
15/9-7,2.0,3637.0,3638.0,37.0
15/9-7,3.0,3555.0,3565.0,83.0
15/9-8,1.0,3450.0,3460.0,0.0
15/9-9,1.0,2414.0,2421.0,0.0
15/9-9,2.0,2386.0,2392.0,35.0
15/9-9,3.0,2323.0,2332.0,69.0
16/1-10,1.0,1920.0,1958.0,0.0
16/1-10,2.0,1897.0,1910.0,61.0
16/1-11,1.0,0.0,0.0,0.0
16/11-2,2.0,2251.0,2262.0,0.0
16/11-2,3.0,2231.0,2242.0,31.0
16/1-15,1.0,1926.0,1960.0,0.0
16/1-15,2.0,1917.0,1920.0,43.0
16/1-18,1.0,1938.9,1951.6,0.0
16/1-25 S,1.0,2006.8,2029.3,0.0
16/1-8 R,1.0,1944.6,1959.0,0.0
16/1-8 R,2.0,1926.0,1936.0,33.0
16/2-11,1.0,1934.5,1943.3,0.0
16/2-17 S,1.0,1929.0,1937.0,0.0
16/2-17 S,2.0,1875.0,1914.0,62.0
16/2-5,1.0,1885.0,1902.0,0.0
16/2-6,1.0,1931.8,1938.2,0.0
16/3-4,1.0,1923.0,1936.0,0.0
16/3-5,1.0,1918.0,1945.0,0.0
16/3-8 S,1.0,1964.1,1979.2,0.0
16/4-6 S,1.0,1960.6,1980.6,0.0
16/4-8 S,1.0,1940.0,1958.0,0.0
16/4-9 S,1.0,1981.0,2001.9,0.0
16/7-4,1.0,2590.0,2597.0,0.0
16/7-4,2.0,2525.0,2535.0,72.0
16/7-7 S,1.0,2752.0,2785.0,0.0
16/7-7 S,2.0,2852.0,2762.0,0.0
17/12-1 R,1.0,2337.0,2341.0,0.0
17/12-1 R,2.0,2316.0,2325.0,25.0
17/12-1 R,3.0,2316.0,2342.0,9.0
17/12-2,1.0,2166.0,2169.0,0.0
17/12-2,2.0,2157.0,2162.0,12.0
17/12-4 A,1.0,2694.0,2760.0,0.0
18/10-1,1.0,2414.0,2427.0,0.0
2/1-1,1.0,3620.0,3743.0,0.0
2/11-1,1.0,2633.0,2639.0,0.0
2/11-1,2.0,2595.0,2605.0,44.0
2/11-1,3.0,2629.0,2651.0,0.0
2/11-1,4.0,2646.0,2651.0,5.0
2/11-2,1.0,2672.0,2680.0,0.0
2/11-2,2.0,2643.0,2665.0,37.0
2/11-3 A,1.0,3268.0,3280.0,0.0
2/11-3 A,2.0,3230.0,3236.0,50.0
2/11-4,1.0,2698.0,2707.0,0.0
2/11-4,2.0,2588.0,2595.0,119.0
2/11-6 S,1.0,3875.0,3900.0,0.0
2/11-6 S,2.0,3585.0,3706.0,315.0
2/11-6 S,3.0,3713.0,3735.0,0.0
2/12-1,1.0,4630.0,4647.0,0.0
2/12-1,2.0,4600.0,4612.0,47.0
2/1-3,1.0,3863.0,3872.0,0.0
2/1-3,2.0,3838.5,3844.6,33.5
2/1-3,3.0,3819.0,3825.1,25.6
2/1-4,1.0,4120.0,4129.0,0.0
2/1-4,2.0,4101.0,4117.0,28.0
2/1-4,3.0,4061.0,4087.0,56.0
2/1-6,1.0,4328.8,4340.0,0.0
2/1-6,2.0,4241.0,4210.0,99.0
2/1-8,1.0,3919.0,3926.0,0.0
2/1-8,2.0,3900.5,3926.0,25.5
2/1-9,1.0,4078.0,4108.0,0.0
2/2-1,1.0,3715.0,3730.0,0.0
2/2-2,1.0,1980.0,1988.0,0.0
2/2-5,1.0,3666.0,3670.0,0.0
2/3-1,1.0,1624.0,1637.0,0.0
2/3-1,2.0,1588.0,1601.0,49.0
2/4-10,1.0,3304.0,3322.0,0.0
2/4-10,2.0,3304.0,3309.0,18.0
2/4-11,1.0,3758.0,3770.0,0.0
2/4-11,2.0,3639.0,3667.0,131.0
2/4-11,3.0,3639.0,3667.0,28.0
2/4-11,4.0,3188.0,3200.0,479.0
2/4-11,5.0,3146.0,3161.0,54.0
2/4-17,1.0,4523.0,4638.0,0.0
2/4-17,2.0,4341.0,4387.6,297.0
