Well,Depth,Mud weight [g/cm3],Visc. [mPa.s],Yield point [Pa],Mud type,Date measured,NPDID wellbore
1/2-1,171.0,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,279.2,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,545.6,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,563.9,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,648.3,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,649.5,1.04,0.0,0.0,WATER BASED,1989-03-29,1382
1/2-1,651.4,1.05,14.0,5.7,WATER BASED,1989-03-30,1382
1/2-1,1196.9,1.16,62.0,1.9,WATER BASED,1989-03-31,1382
1/2-1,1531.0,1.44,35.0,3.8,WATER BASED,1989-04-03,1382
1/2-1,1531.0,1.44,21.0,3.4,WATER BASED,1989-04-04,1382
1/2-1,1531.0,1.44,8.0,16.3,WATER BASED,1989-04-03,1382
1/2-1,1531.0,1.44,9.0,14.4,WATER BASED,1989-04-03,1382
1/2-1,1783.1,1.44,20.0,3.8,WATER BASED,1989-04-05,1382
1/2-1,2198.5,1.5,23.0,10.5,WATER BASED,1989-04-06,1382
1/2-1,2503.9,1.53,20.0,9.6,WATER BASED,1989-04-07,1382
1/2-1,2906.3,1.58,19.0,11.0,WATER BASED,1989-04-10,1382
1/2-1,3049.8,1.62,11.0,7.7,WATER BASED,1989-04-10,1382
1/2-1,3056.2,1.62,15.0,7.7,WATER BASED,1989-04-11,1382
1/2-1,3056.2,1.62,15.0,7.7,WATER BASED,1989-04-11,1382
1/2-1,3056.2,1.64,11.0,5.7,WATER BASED,1989-04-12,1382
1/2-1,3056.2,1.64,13.0,5.7,WATER BASED,1989-04-14,1382
1/2-1,3056.2,1.64,13.0,4.8,WATER BASED,1989-04-17,1382
1/2-1,3056.2,1.64,13.0,4.8,WATER BASED,1989-04-17,1382
1/2-1,3056.2,1.64,13.0,4.8,WATER BASED,1989-04-17,1382
1/2-1,3056.2,1.62,14.0,7.2,WATER BASED,1989-04-10,1382
1/2-1,3056.2,1.64,12.0,5.7,WATER BASED,1989-04-13,1382
1/2-1,3058.7,1.61,18.0,6.2,WATER BASED,1989-04-27,1382
1/2-1,3070.9,1.61,15.0,4.8,WATER BASED,1989-04-26,1382
1/2-1,3109.0,1.64,16.0,8.1,WATER BASED,1989-04-17,1382
1/2-1,3109.0,1.64,14.0,7.7,WATER BASED,1989-04-17,1382
1/2-1,3109.0,1.64,14.0,7.7,WATER BASED,1989-04-17,1382
1/2-1,3109.0,1.64,16.0,8.1,WATER BASED,1989-04-17,1382
1/2-1,3109.0,1.64,14.0,7.7,WATER BASED,1989-04-17,1382
1/2-1,3109.0,1.64,16.0,8.1,WATER BASED,1989-04-17,1382
1/2-1,3113.8,1.64,16.0,7.2,WATER BASED,1989-04-19,1382
1/2-1,3116.6,1.61,18.0,6.7,WATER BASED,1989-04-28,1382
1/2-1,3124.8,1.64,19.0,8.1,WATER BASED,1989-04-19,1382
1/2-1,3126.0,1.63,19.0,6.7,WATER BASED,1989-04-20,1382
1/2-1,3144.0,1.61,21.0,4.8,WATER BASED,1989-05-02,1382
1/2-1,3153.5,1.62,20.0,5.7,WATER BASED,1989-04-21,1382
1/2-1,3160.2,1.61,21.0,6.7,WATER BASED,1989-04-24,1382
1/2-1,3160.2,1.61,21.0,6.7,WATER BASED,1989-05-02,1382
1/2-1,3163.8,1.61,18.0,6.2,WATER BASED,1989-04-24,1382
1/2-1,3163.8,1.61,18.0,5.7,WATER BASED,1989-04-24,1382
