Well,Test type,Bottle number,Top depth,Base depth,Fluid type,Test time ,Received date,NPDID wellbore
1/2-1,DST ,DST1      ,3122.3,3137.0, ,1989-05-27 06:00:00,1991-09-09 00:00:00,1382
1/3-10,DST ,          ,0.0,0.0, ,,2011-08-06 00:00:00,5614
1/3-11,DST ,          ,0.0,0.0, ,,,5806
1/3-11,MDT ,          ,3294.5,0.0,OIL,,2014-04-03 00:00:00,5806
1/3-3,DST ,DST3A     ,4202.0,4208.0,WATER,1983-03-06 00:00:00,1991-10-28 00:00:00,87
1/3-3,DST ,"DST0,1    ",0.0,0.0, ,1983-02-20 00:00:00,1991-10-28 00:00:00,87
1/3-3,DST ,TEST1     ,4529.0,4552.0, ,1983-08-02 00:00:00,1995-08-09 00:00:00,87
1/3-3,DST ,"DST0,2    ",4240.0,4233.0, ,1983-02-25 00:00:00,1991-10-28 00:00:00,87
1/3-3,DST ,DST2      ,4233.0,4240.0, ,1983-02-27 00:00:00,1991-10-28 00:00:00,87
1/3-3,DST ,"DST0,3    ",0.0,0.0,WATER,1983-03-06 00:00:00,1991-10-28 00:00:00,87
1/3-3,DST ,TEST3C    ,0.0,0.0,WATER,1983-03-06 00:00:00,1995-08-09 00:00:00,87
1/3-3,DST ,3B        ,0.0,0.0, ,1983-03-13 00:00:00,,87
1/3-3,DST ,          ,4211.0,4214.0, ,,,87
1/3-3,DST ,          ,0.0,0.0, ,,1995-08-09 00:00:00,87
1/6-1,DST ,DST4      ,3153.0,3159.0, ,1972-11-20 00:00:00,1991-02-06 00:00:00,239
1/6-3,DST ,TEST1     ,3228.0,3266.0, ,1974-07-20 00:00:00,1991-03-06 00:00:00,241
1/6-3,DST ,"TEST1,1   ",0.0,0.0, ,1974-07-23 00:00:00,1991-03-06 00:00:00,241
1/9-1,DST ,DST 1     ,3298.0,3302.0, ,1976-12-23 00:00:00,1980-01-01 00:00:00,243
1/9-1,DST ,TEST1A    ,0.0,0.0, ,1976-12-25 01:00:00,1991-10-01 00:00:00,243
1/9-1,DST ,TEST1B    ,3312.0,3306.0, ,1976-12-25 14:30:00,1980-01-01 00:00:00,243
1/9-1,DST ,TEST4     ,3148.0,3157.0, ,1977-01-11 01:55:00,1980-01-01 00:00:00,243
1/9-1,DST ,TEST5     ,3120.0,3133.0, ,1977-01-17 19:25:00,1980-01-01 00:00:00,243
1/9-1,DST ,DST6      ,3105.0,3109.0, ,1977-01-26 00:00:00,1980-01-01 00:00:00,243
1/9-1,DST ,DST 8     ,3055.0,3068.0, ,1977-01-31 15:15:00,1980-01-01 00:00:00,243
1/9-2,DST ,DST 1     ,3197.0,3209.0, ,1977-07-27 00:00:00,1980-01-01 00:00:00,244
1/9-2,DST ,TEST2     ,3130.0,3154.0, ,1977-08-02 05:00:00,1991-10-01 00:00:00,244
1/9-3,DST ,TEST3     ,3126.0,3125.0, ,1978-09-14 00:00:00,1980-01-01 00:00:00,245
1/9-3,DST ,TEST4     ,3094.0,3112.0, ,1978-09-19 02:25:00,1980-01-01 00:00:00,245
1/9-4,DST ,TEST1     ,3292.0,3296.0, ,1977-12-01 00:00:00,1991-10-01 00:00:00,247
1/9-4,DST ,TEST2     ,3235.0,3255.0, ,1977-12-15 03:00:00,1980-01-01 00:00:00,247
1/9-4,DST ,TEST3     ,3176.0,3198.0, ,1977-12-24 19:00:00,1980-01-01 00:00:00,247
1/9-4,DST ,TEST4     ,3137.0,3127.0, ,1977-12-29 00:00:00,1980-01-01 00:00:00,247
1/9-6 S,DST ,TEST2A    ,3636.0,3655.0, ,1982-09-17 00:00:00,1991-10-01 00:00:00,44
1/9-6 S,DST ,TEST2B    ,3655.0,3636.0, ,1982-09-17 00:00:00,1991-10-01 00:00:00,44
1/9-6 S,DST ,TEST3     ,3523.0,3587.0, ,1982-10-03 00:00:00,1991-10-01 00:00:00,44
1/9-6 S,DST ,TEST4     ,3417.0,3459.0, ,1982-11-25 00:00:00,1991-10-01 00:00:00,44
1/9-A-4 H,DST ,          ,3135.4,3307.0, ,1988-06-28 00:00:00,1991-10-01 00:00:00,1035
1/9-A-6 H,DST ,TEST1     ,3361.0,3410.0, ,1988-05-09 02:45:00,1991-10-01 00:00:00,1244
15/12-18 S,DST ,          ,0.0,0.0,OIL,,,5607
15/12-18 S,MDT ,          ,0.0,2683.6,OIL,,2011-08-06 00:00:00,5607
15/12-19,DST ,          ,0.0,0.0,OIL,,2011-06-17 00:00:00,5705
15/12-19,DST ,          ,0.0,0.0,WATER,,2011-06-17 00:00:00,5705
15/12-19,DST ,1 C       ,3058.0,2980.0,OIL,2008-05-10 02:26:00,2016-01-02 00:00:00,5705
15/12-5,DST ,FMT2      ,2935.0,2935.0, ,1986-04-20 00:00:00,1991-10-01 00:00:00,113
15/12-6 S,DST ,TEST1     ,2922.0,2930.0, ,1990-10-13 20:00:00,1991-10-01 00:00:00,1524
15/12-6 S,DST ,TEST2     ,2875.0,2895.0, ,1990-10-24 19:30:00,1991-10-01 00:00:00,1524
15/12-8,DST ,TEST1     ,2838.0,2869.0, ,1991-07-09 04:35:00,1991-10-01 00:00:00,1778
15/12-9 S,DST ,DST2      ,3385.0,0.0,OIL,1992-09-28 17:50:00,1992-10-12 00:00:00,1978
15/3-2,DST ,          ,0.0,0.0, ,,1991-10-28 00:00:00,310
15/3-2,DST ,          ,0.0,0.0, ,,1995-08-09 00:00:00,310
15/3-2,DST ,          ,0.0,0.0, ,,1995-08-09 00:00:00,310
15/3-3,DST ,DST 2     ,4615.0,4632.0,OIL,,1991-10-28 00:00:00,313
15/3-3,DST ,          ,4967.0,4990.0, ,,1995-08-09 00:00:00,313
15/3-3,DST ,DST 0     ,0.0,0.0, ,,,313
15/3-5,DST ,          ,0.0,0.0, ,,1991-10-28 00:00:00,52
15/3-8,DST ,          ,4141.0,4183.0,OIL,2006-03-04 08:17:00,2006-03-20 00:00:00,5175
15/3-8,DST ,          ,4128.0,0.0,OIL,,2010-12-09 00:00:00,5175
15/3-8,DST ,          ,4510.0,0.0,OIL,,,5175
15/3-8,FMT ,          ,0.0,4508.7,CONDENSATE,,,5175
15/5-5,DST ,TEST1     ,2183.5,2154.0, ,1995-09-25 09:25:00,1995-10-03 00:00:00,2635
15/5-7,DST ,          ,0.0,0.0,OIL,,2011-03-10 00:00:00,5842
15/6-11 A,DST ,          ,4158.0,4139.58,OIL,2011-02-25 19:40:00,2011-02-25 00:00:00,6526
15/6-12,DST ,1A-1B     ,0.0,0.0,OIL,2011-01-29 00:00:00,2011-03-21 00:00:00,6518
15/6-12,MDT ,          ,0.0,3806.0,OIL,,,6518
15/6-13,MDT ,          ,0.0,0.0,OIL,,2015-09-21 00:00:00,7667
15/6-13,MDT ,          ,3471.8,0.0,OIL,,,7667
15/6-13,MDT ,          ,3466.7,0.0,OIL,,2015-09-21 00:00:00,7667
15/6-2 R,FIT ,          ,3606.6,0.0,OIL,1974-07-28 00:00:00,1991-06-21 00:00:00,517
15/6-3,DST ,TEST2     ,3490.8,3496.8, ,1974-12-15 00:00:00,1991-06-21 00:00:00,318
15/8-1,DST ,TEST2     ,3911.0,3926.0, ,1981-12-17 00:00:00,1991-10-01 00:00:00,321
15/8-1,DST ,TEST3     ,3688.0,3697.0, ,1981-12-24 00:00:00,1991-10-01 00:00:00,321
15/8-1,DST ,TEST4     ,3643.0,3653.0, ,1981-12-29 00:00:00,1991-10-01 00:00:00,321
15/9-1,DST ,TEST1     ,0.0,0.0, ,1977-05-17 07:00:00,1991-10-01 00:00:00,322
15/9-1,DST ,TEST2     ,0.0,0.0, ,1977-05-23 00:00:00,1991-10-01 00:00:00,322
15/9-10,DST ,          ,0.0,0.0, ,1993-09-27 19:00:00,,69
15/9-11,DST ,TEST1     ,2797.0,2807.0, ,1981-12-01 21:00:00,1991-10-01 00:00:00,329
15/9-11,DST ,TEST2     ,2410.0,2432.0, ,1980-12-08 10:30:00,1991-10-01 00:00:00,329
15/9-11,DST ,TEST3     ,2395.0,2415.0, ,1981-12-15 00:00:00,1991-10-01 00:00:00,329
15/9-12,DST ,TEST1B    ,3585.0,3595.0, ,1982-04-14 00:00:00,1991-10-01 00:00:00,330
15/9-12,DST ,TEST2     ,3512.0,3522.0, ,1982-04-20 00:00:00,1991-10-01 00:00:00,330
15/9-13,DST ,TEST1     ,2765.0,2769.0, ,1982-05-16 14:00:00,1991-10-01 00:00:00,45
15/9-13,DST ,TEST2     ,2422.0,2427.0, ,1982-05-20 00:00:00,1991-10-01 00:00:00,45
15/9-15,DST ,TEST1     ,2880.0,2890.0, ,1982-07-20 00:00:00,1991-10-01 00:00:00,74
15/9-15,DST ,TEST2     ,2830.0,2850.0, ,1982-07-25 00:00:00,1991-10-01 00:00:00,74
15/9-17,DST ,TEST1     ,2803.0,2813.0, ,1983-08-13 00:00:00,1991-10-01 00:00:00,60
15/9-17,DST ,TEST2     ,2776.0,2741.0, ,1983-03-18 00:00:00,1991-10-01 00:00:00,60
15/9-17,DST ,TEST3     ,2385.0,2405.0, ,1983-03-24 02:30:00,1991-10-01 00:00:00,60
15/9-19 A,DST ,TEST1A    ,3885.0,3889.0, ,1997-10-27 16:15:00,1997-11-10 00:00:00,3145
15/9-19 A,DST ,TEST2B    ,3865.0,3826.0, ,1997-10-30 22:50:00,1997-11-07 00:00:00,3145
15/9-19 SR,DST ,TEST1     ,4338.0,4316.0, ,1993-04-19 00:00:00,1993-05-10 00:00:00,2105
15/9-5,DST ,TEST2     ,3588.0,3593.0, ,1980-03-21 00:00:00,1991-10-01 00:00:00,326
15/9-7,DST ,TEST3     ,3555.0,3565.0, ,1981-04-19 07:00:00,1991-10-01 00:00:00,218
15/9-8,DST ,TEST1     ,3450.0,3460.0, ,1981-05-15 05:00:00,1991-10-01 00:00:00,327
15/9-9,DST ,TEST2     ,2386.0,2392.0, ,1981-07-02 05:00:00,1991-10-01 00:00:00,328
15/9-9,DST ,TEST3     ,2323.0,2333.0, ,1981-07-06 00:00:00,1991-10-01 00:00:00,328
15/9-A-10,DST ,          ,2366.3,2297.3,CONDENSATE,1993-09-27 19:00:00,1993-10-01 00:00:00,2174
15/9-B-13,DST ,          ,0.0,0.0, ,,1997-01-27 00:00:00,2816
15/9-B-24,DST ,          ,0.0,0.0, ,1997-05-03 00:00:00,1997-05-29 00:00:00,3006
15/9-C-2 AH,DST ,          ,0.0,0.0, ,1998-06-25 00:00:00,1998-07-07 00:00:00,3185
